,x_coord,y_coord
control,24.337267,-22.549261
mark,-64.18995,-30.244925
credit,23.761694,39.521893
optometrist,-44.75949,-29.952868
weird,15.047026,-5.3710747
struggle,35.127098,-12.242704
worry,12.911404,-20.074474
previously,-9.842096,63.888382
constantly,0.97876453,23.250885
no_matter,-16.461763,20.873047
introduce,-26.278404,35.07644
complication,31.057623,-21.496752
piece,37.3263,21.942059
kim,-58.30558,-42.985657
approve,14.80738,42.235405
strong,57.800518,-1.1754984
loud,5.9491725,19.395882
complain_about,-1.3111589,15.052055
google,-7.4029436,32.492218
absolutely_love,-15.524882,-51.705463
page,16.03154,32.649883
wall,32.394413,12.2761545
suggestion,12.497993,-25.929037
super_nice,-5.880237,-45.390476
risk,31.009716,-21.093122
pretty_much,16.552858,10.986005
boyfriend,-55.466976,18.704191
asap,-16.188648,58.465073
muscle,52.458096,-28.568068
hire,-24.074238,-25.009287
shocked,6.8333764,-13.996909
negative_review,-19.628971,11.439973
genuine,0.3920477,-41.008022
neurologist,-41.771908,-27.434542
middle,-8.125643,55.317074
blood_draw,24.702454,25.34115
implant,46.289333,-34.84741
student,-32.64136,-22.411118
train,-24.270407,-25.084911
nightmare,4.9841704,6.3208055
no_idea,-11.916209,24.900965
luckily,-35.414127,19.446676
training,-25.096428,-25.06069
unnecessary,8.997581,10.440234
go_anywhere_else,-32.79569,11.9279175
send_home,57.6914,6.2976017
definitely_recommend,-28.984344,14.535121
eventually,-14.899554,61.926907
discomfort,41.78747,-8.716839
environment,-6.7475433,-17.971159
fill_out_paperwork,13.66534,59.21885
ago,-7.8145556,66.03084
argue,4.043598,14.810094
educate,3.5729415,-41.44188
fire,-5.4854684,6.530192
scary,17.40535,-11.57597
describe,1.0424528,-19.936512
obvious,-12.2465515,9.821867
cheap,19.604816,7.624651
half_hour,21.021786,72.58297
minor,29.433472,-10.798268
medical_field,-20.352238,-31.685913
spine,55.3194,-30.054424
street,-62.21734,-4.8524594
fear,13.690069,-20.518658
afternoon,-0.1633176,66.59467
waiting,20.037642,65.49801
40_minute,21.911005,71.75061
blame,11.985729,9.767077
3rd,3.7082472,73.83654
prefer,-15.062737,15.893397
extremely_rude,-2.4502785,-3.5131822
prepare,3.552099,28.685585
disease,36.33508,-19.486523
effort,-5.610316,-31.240316
laser,34.417744,-39.867435
decent,-14.714855,-47.089542
grow,36.819054,-24.178661
birth_control,42.613808,-32.17472
warn,-23.122314,15.371997
progress,22.385134,-32.230583
earth,4.162311,-46.87989
discover,24.242395,-18.769295
correctly,11.618799,14.916703
originally,-11.616544,65.76305
thoroughly,7.5131645,-32.660618
operation,40.86706,-38.233227
confidence,-7.4924297,-33.379993
supervisor,-38.261307,-5.3720093
practitioner,-43.8003,-32.89934
bathroom,36.118362,14.416647
midwife,-43.68379,-18.189253
week_ago,-5.4305387,71.46264
smart,3.8156674,-47.57492
w,-68.36225,-31.574345
banner,-53.843555,-6.4324946
pain_management,-34.101505,-33.356422
anyone_else,-33.076866,12.311947
lay,33.666996,10.379139
ct_scan,28.008013,23.687029
sample,48.19871,17.839987
rare,18.121592,-6.2215724
single,19.144508,28.839746
very_disappointed,5.1955724,-11.587468
suffer_from,37.30447,-12.433226
rating,-34.034557,28.209053
law,-53.943577,20.758509
fully,7.623014,-33.32941
error,13.341186,9.219014
finger,52.91334,-24.995594
smooth,-15.730388,-15.250582
reception,-36.237144,-10.487077
confused,9.363769,-12.96752
accident,59.2256,-25.558794
demand,27.421677,39.534595
drink,43.05274,16.473063
human,-26.074665,-13.10748
local,-43.440605,-11.883763
pain_med,58.63686,9.112129
1_star,-34.80865,27.797989
nasty,24.812643,-2.101968
size,30.000204,-3.9636009
side_effect,48.74175,-11.102655
medical_history,26.11385,-8.29042
frustrated,8.663264,-11.229411
develop,36.54392,-12.8867445
energy,1.3048574,-23.311178
yeah,-18.476206,27.975555
evening,-0.24204709,65.72135
seat,13.236936,20.782084
bc,-14.213235,68.18003
pleasure,-23.764769,-40.480904
bone,53.119854,-27.990402
nevada,-57.596577,-18.021154
great_bedside_manner,2.4556487,-43.5557
henderson,-60.949528,-13.012092
lenscrafters,-24.540693,-2.9192333
tired,9.66844,-9.127777
hair,35.30181,-2.3118927
diet,21.789103,-37.169468
hurry,-7.453046,-7.1066346
unacceptable,10.08454,-4.757601
separate,3.5505195,43.340233
prepared,3.4566262,28.639149
establish,-20.168365,-23.178965
table,34.196598,11.349536
lab_work,26.101927,26.160078
window,11.340573,21.44658
pack,34.320934,20.435255
umc,-52.657623,-4.60697
action,-7.6296086,-20.85296
acknowledge,-26.47109,33.639114
outcome,19.270222,-24.835474
lab_result,11.138793,37.19252
sort,34.638355,30.677824
supply,50.075485,19.555258
example,-25.99768,-22.622005
mammogram,24.651274,23.869667
annual,-29.127522,45.78508
fabulous,-13.015839,-49.370434
typical,-8.956035,17.783588
january,-0.03631764,76.31929
road,-61.27755,-7.3474393
fight,34.13036,-10.230103
average,30.314974,65.50828
regret,-14.530446,-59.431625
scheduler,-36.157566,-7.1879716
voice,-1.5616182,-12.932765
hesitate,-29.556076,16.090887
damage,37.760426,-15.828002
c_section,-47.829803,6.46541
6_week,13.060387,77.79662
hand_down,-21.34776,-39.83895
pain_free,23.93363,-30.830547
wellness,-28.934828,-33.027622
contract,19.05149,48.23585
thought,14.358604,-22.752653
stay_away_from,-29.091417,9.933287
self,17.802189,-21.48482
apt,2.3509073,57.609936
crap,1.1922737,6.8474135
good_luck,-37.346012,15.816957
surgical,41.600716,-36.967564
cash,26.939632,45.55304
breathe,52.705803,-3.0754268
toe,53.184708,-25.585264
vaccine,-34.677624,42.917774
quote,36.56698,44.282974
thankfully,-35.456013,19.317114
mess,5.2767925,6.460441
humor,-11.527444,-30.25687
n,-67.26242,-36.49025
kindness,-7.5921946,-28.008137
hall,-57.420185,-27.665113
burn,43.67524,3.1220355
angry,9.017823,-11.601867
folk,-29.132292,-10.615847
mole,43.003277,-27.393919
notify,5.005627,35.895016
scream,42.331177,-0.8530361
healing,21.606249,-31.016832
arrogant,-1.0951024,-5.047554
selection,-20.15786,-6.6285014
sooner,-13.532992,58.63265
11,37.390907,60.52653
thursday,3.2227783,68.338326
daily,55.499878,26.879951
bleed,40.208683,-7.069271
improvement,25.528103,-28.146574
at_ease,-3.978224,-37.786892
relationship,-20.005821,-23.493277
phenomenal,-11.958161,-49.666958
respectful,-1.2705886,-44.31029
demeanor,-5.871362,-23.242785
text,-1.5657743,38.880142
stomach,51.78234,-20.739712
similar,-16.705044,3.5415392
asthma,57.1757,-13.1876335
medicare,21.230839,48.84081
fracture,56.035397,-26.419765
lovely,-7.35788,-43.878735
june,0.24492812,76.35865
miserable,7.5014634,-7.5606637
groupon,41.46341,26.728302
statement,21.70813,40.655487
direction,-5.4068947,18.296452
thyroid,47.191135,-17.374348
deductible,28.600605,44.678566
sinus_infection,54.323704,-10.411474
examination,20.005543,22.386642
anyways,-13.574783,61.02492
common,17.912539,-6.353636
alternative,15.662755,-25.798761
immediate,25.867483,-11.531375
rarely,-16.30472,37.646076
lung,53.403988,-18.841368
favorite,-15.6414175,-50.593185
unfriendly,-1.5269423,-3.9978633
stay_away,-30.589045,9.288493
nope,-19.751524,29.394875
last_minute,-2.9446683,59.368717
sunday,2.578304,66.47332
mess_up,10.880587,8.036617
supplement,22.13324,-38.110325
tuesday,3.2051187,68.04766
expert,-0.53440404,-50.354736
supportive,-1.4995456,-42.90465
ease,-6.3862796,-36.9333
atmosphere,-6.549298,-18.111378
accord,6.54146,40.46144
meeting,-38.290676,6.271294
regardless,-16.24756,20.752426
box,41.78094,25.298147
put_at_ease,-3.5085702,-38.924366
replace,49.01963,-33.480682
dermatology,-45.73472,-23.444792
final,-8.464139,60.00043
male,-31.426767,-5.2298765
success,18.328196,-31.692123
worst,-22.252417,-40.3382
appropriate,9.770991,13.1128645
retire,-34.214405,1.9990448
these_guy,-25.782267,-10.209937
too_busy,-7.3564224,25.456003
pre,-12.199922,47.189865
monitor,49.756702,-0.78237015
express,1.7516778,-19.825512
carry,29.781403,2.3168035
worker,-31.198063,-12.378876
careful,9.82304,-48.75072
expectation,-24.033161,3.9037907
march,0.17961681,76.710335
unorganized,0.24228956,-1.4254037
interest,-0.6780547,-31.631289
document,15.445673,35.360558
feel_at_ease,-3.693221,-38.753918
rash,53.623116,-13.74229
pm,8.979495,64.88373
timely_manner,-16.788858,55.505894
tomorrow,2.2840188,69.02007
operate,39.43489,-37.3915
collect,28.636642,40.394386
view,24.856508,16.726387
really_appreciate,-3.6164036,-54.57753
inconvenience,11.876332,1.2635784
uncaring,-0.05009616,-3.7656949
hassle,18.012333,-1.0608289
podiatrist,-40.50888,-29.350855
wednesday,3.2875845,67.98149
round,-41.09595,10.503133
paper_work,16.202269,34.241035
establishment,-47.682266,-10.59324
create,26.80075,-21.00785
usual,-8.976646,18.056873
jennifer,-56.275215,-47.264576
april,0.8111257,76.78955
repair,50.768772,-32.36879
chat,5.655326,17.58067
longer,23.565626,66.211945
encourage,5.5877132,-24.368572
imaging,-46.434055,-5.877802
modern,-8.7701645,-14.845405
count,31.436903,65.79473
unhappy,6.1112576,-10.905753
frustration,9.353952,-1.1394726
afraid,11.902325,-16.334175
fair,-1.5459155,9.289456
accurate,12.905933,14.976007
discount,41.263348,28.016626
hormone,47.152634,-16.746166
occasion,-30.836319,54.094414
thi,-26.47765,7.888642
prove,-9.604656,0.8356747
opportunity,-28.616016,-21.90586
afford,-17.609207,16.842716
desire,-6.125473,-32.7145
pneumonia,55.55027,-10.105927
sensitive,2.2478714,-32.30776
somewhere_else,-32.118553,9.813167
behavior,0.45024258,-11.124756
associate,-39.46497,-19.243902
10_min,23.808916,72.80552
country,-61.76943,-15.858225
day_ago,-5.6180825,71.28437
triage,-16.86374,44.49768
indicate,5.7804646,37.250916
squeeze,-2.3285208,58.68278
worry_about,12.574196,-20.160278
remain,23.552275,-28.472025
facial,33.125153,-39.301376
successful,18.315323,-31.720762
+,34.08914,64.60799
impossible,-1.2044064,28.453213
double,39.697315,44.694855
dismiss,13.264986,4.0777526
cardiologist,-42.1282,-28.103668
take_vital,-35.719654,-14.225892
chronic,37.8475,-12.85459
physician_assistant,-46.21375,-40.210415
hello,-26.991762,35.855793
typically,-16.92047,37.746677
five_star,-35.143906,28.023829
unbelievable,8.253455,-4.815162
reassure,4.177628,-33.81941
adult,-49.117542,15.533094
generally,-13.851179,-8.187322
image,25.937706,20.998095
private,-15.860569,1.1080657
physical_therapist,-35.256805,-34.9628
concerned_about,10.205477,-21.771421
accept_insurance,23.6866,48.67185
cure,40.677322,-17.257715
sheet,17.208435,32.448654
newborn,-51.125584,14.444473
45_min,22.157467,71.23287
breath,52.464115,-3.9314485
responsibility,24.862411,35.148766
term,3.502079,-28.670063
misdiagnos,27.438688,-15.550739
shock,6.694105,-14.404161
fast_forward,-7.411099,69.13867
acne,54.2607,-14.581628
partner,-52.9012,19.448906
b,-66.260826,-33.830135
july,0.8034125,76.78873
everyday,55.502808,26.866674
kill,30.644787,-15.23559
goal,16.993448,-34.77885
extreme,37.826298,-11.942543
yell_at,1.8834182,14.550703
thank_god,-36.244125,19.687145
owner,-39.17431,-4.99721
plastic_surgeon,-40.96529,-30.832758
numb,45.46963,2.9693532
disappointing,13.142084,-8.921351
rush_through,-8.254117,-7.661456
positive_experience,-19.618557,-19.086693
24_hour,15.807325,74.216675
brother,-54.45605,20.254028
rudely,-1.096352,20.041685
courtesy,-10.375043,-25.66899
20_year,12.151387,83.15991
smell,35.02143,15.658082
scam,3.4505253,4.844368
40,38.0294,56.637913
annoying,14.434933,-8.714473
greet_by,-28.51621,35.00028
lisa,-54.81686,-44.36073
god,-18.45105,-35.349735
anesthesiologist,-36.800457,-17.375292
prevent,36.77656,-15.633895
orthopedic,-48.10542,-21.775324
figure_out_what,21.060036,-22.48913
15_min,23.511211,72.5287
nursing_staff,-33.4029,-16.280302
next_morning,-2.6549962,66.585365
understand_why,-18.384298,18.448147
yelp_review,-18.734396,12.000249
swollen,39.549606,-5.1473145
phone_number,-6.003744,40.27371
smoothly,-15.635758,-15.496283
recent,31.378939,-9.360978
checkup,-29.983324,45.5761
evaluation,19.838413,22.197998
wrist,54.125698,-25.895569
car_accident,59.163967,-25.480482
deliver_baby,-48.0972,8.921969
game,27.481335,14.293082
front_desk_girl,-35.29705,-9.56407
teach,-26.270086,-25.603783
$_$,33.380127,39.598053
effective,11.024622,-41.885586
luck,-37.367527,15.836078
2016,-0.08936839,77.432945
exist,-1.2848384,24.977707
ekg,27.623795,24.947159
access,-8.720426,35.602295
odd,15.327565,-5.878558
save_life,-45.166687,0.3816561
judge,-9.159251,-4.432027
chest,52.73635,-20.334082
skilled,0.91987824,-47.792686
wtf,-17.238964,26.34197
lip,40.009922,-26.212502
somewhat,-12.847913,-4.656304
damn,1.9323151,6.787681
comforting,-3.7215621,-41.357285
repeatedly,1.579,22.245413
coverage,22.292368,46.41103
genuinely,0.358064,-39.496185
no_idea_what,-11.233376,24.400656
strange,15.118195,-5.5187554
draw_blood,24.496275,25.238167
assistance,-11.034489,-34.380173
long_story_short,22.621025,12.145595
urgent_care_facility,-50.61326,-5.7937813
left,50.90737,-23.735218
apply,21.184448,3.2163038
five_minute,23.916603,73.95421
jump,27.947035,6.92717
disrespectful,-0.4195268,-3.278688
tone,-1.5725726,-12.856346
zero_star,-35.372444,30.186512
depend_on,-15.947557,20.427309
50,38.127796,55.643646
cyst,45.388508,-24.417673
ivf,-41.880054,10.046852
lazy,-2.0702236,0.06548405
affordable,20.219826,9.2269945
focus_on,14.880372,-34.687504
organized,-11.459599,-16.041433
responsible,24.886164,35.20779
organization,-26.106394,-17.780933
mad,9.133635,-12.16965
charge_$,30.906172,43.714428
sinus,55.82344,-16.677837
pre_op,-12.318777,47.33889
va,-40.715897,-0.13097051
gal,-32.68516,-9.292248
human_being,-26.108608,-13.126747
colonoscopy,44.389282,-39.79971
gilbert,-60.669697,-12.409987
event,21.272099,-12.843219
absolute,-17.80148,-41.02114
whole_process,-16.925886,-17.621881
shit,1.1937222,6.7028813
mayo,-54.747955,-9.689897
absolutely_amazing,-12.856443,-50.59374
rock,-67.351036,-30.509327
brace,38.82153,2.4286687
position,54.95183,-22.80277
brain,47.85884,-19.825542
priority,0.19290406,-32.906677
2015,-0.35639504,77.07405
everyone_else,-28.12207,-10.524839
interaction,-20.63476,-19.067125
white,-64.19376,-30.108742
bottom_line,-17.45972,-26.950596
strep,55.394455,-9.223761
increase,44.900745,-5.2983265
city,-61.23255,-16.149897
likely,-24.003262,21.938887
evaluate,15.788482,17.29846
administer,49.056118,7.152546
come_across,-31.203173,3.903327
empathy,-8.302049,-26.918058
function,25.697504,-30.92
dog,-7.16514,20.018349
chandler,-60.695766,-12.642702
reaction,48.81174,-10.903629
tend,-16.11682,38.952065
financial,-34.123936,-2.4876502
december,-0.0095048295,75.90989
affect,26.208252,-26.372482
tip,13.039147,-26.727886
occur,6.1229854,28.044899
15_year,12.131751,83.267815
experienced,0.6308339,-48.112823
miscarriage,-44.847107,8.841404
profession,-20.46498,-31.135038
breast_augmentation,45.192993,-37.111282
5_min,24.379732,73.69537
bloodwork,26.33327,26.266865
decline,16.497673,44.59472
relieve,31.825367,-26.895796
weight_loss,23.538027,-39.125877
august,-0.2802027,76.09467
psychiatrist,-40.34073,-27.512577
hey,-18.64267,28.461187
walgreens,58.662014,15.756509
$_200,32.515793,45.506657
twin,-48.832336,11.852119
ball,45.15434,7.7528462
tough,17.939499,-9.994155
$_50,32.845078,43.784664
space,-8.795268,-12.186147
20_min,22.859278,71.895256
wound,48.811646,-27.603634
privacy,-7.8122506,12.256507
thanks,-21.613173,-50.128933
death,31.540854,-15.970197
run_late,7.161982,55.531284
whatsoever,-25.66306,17.87691
disorganized,0.3346472,-1.3663682
ruin,27.301794,-24.233858
hallway,13.024448,22.293709
rule,-9.397405,13.829393
forward,8.294676,30.650936
front_desk_lady,-35.397484,-9.488261
pro,-14.042383,-21.646057
reduce,44.99399,-5.14909
photo,26.03672,17.890856
method,11.8775625,-41.667774
art,-5.213053,-15.320817
base,-7.1791487,28.351063
parking_lot,9.196791,24.804247
member,-28.779272,-15.587578
useless,7.8821363,8.359091
extremely_knowledgeable,2.0757985,-44.914654
board,-4.7458344,13.796032
run_around,4.9176254,12.81803
inject,48.410313,5.778916
serve,-9.194217,7.410404
2017,0.024102166,77.34904
pharmacist,58.694366,15.243545
technique,12.108095,-42.022476
injure,59.157593,-25.033112
gynecologist,-42.858078,-23.905031
steroid,56.790176,8.200497
jessica,-55.868748,-46.46019
fairly,-12.9524555,-6.067263
feel_welcome,-4.442416,-39.9251
radiologist,26.684286,21.94075
sale,-23.340807,0.22548607
little_bit,-12.9579735,-2.8518097
incompetence,7.8937306,-0.62426937
turn_away,8.9981365,56.80132
anybody,-32.74657,12.878567
credit_card,20.221657,38.194298
detailed,6.317718,-43.451855
medical_center,-54.267315,-4.339432
fan,-10.730108,-18.668238
hearing_aid,36.540836,-46.549175
upfront,21.64787,18.08091
code,25.222174,43.351093
bronchitis,55.202934,-10.239721
limit,40.998665,36.897354
fluid,51.51725,-17.342375
mile,-46.835007,36.811516
everybody,-28.09367,-10.562927
anything_else,-21.622744,35.079273
reminder,0.040095612,39.185947
cream,53.841198,8.8316765
annoyed,8.869231,-10.501773
cup,39.048588,15.632453
know_stuff,3.478928,-45.732533
corner,-62.625534,-4.7301283
unit,-48.157078,0.42279756
and/or,-2.5766714,24.736452
recognize,10.160401,-26.86186
black,29.215557,0.52119696
consistently,-11.322076,-41.969852
impression,-4.613134,-18.28057
active,20.850117,-34.809284
fly,-44.38158,36.636475
regularly,-26.033716,42.583103
sound_like,-5.1970224,3.3289597
cast,39.18511,3.405232
amazed,-8.11892,-55.687256
unfortunate,13.510262,-10.408337
allergic,56.22747,-12.895924
awhile,23.618338,67.24786
quiet,-9.28685,-16.911484
interact_with,-21.5334,-18.562447
relaxed,-5.148624,-38.067646
id,18.421072,36.34006
screw_up,11.054553,8.080331
recover,22.607973,-30.952501
sadly,-33.3961,19.797836
poorly,3.8002837,-8.455664
badly,3.7950668,-8.617103
empathetic,-0.40404472,-44.808334
select,-28.498875,3.4606175
draw,36.886856,19.366478
ring,-5.819633,42.393185
threaten,25.563723,37.403755
lift,46.715748,-36.00762
assign,-38.535133,-29.850327
brand,-19.938137,-5.159484
solve,21.990538,-21.472525
convenience,-21.9245,5.9707837
ultrasound_tech,-39.480278,-14.897778
community,-17.704311,-30.651062
2014,-0.65307915,77.144646
maintain,24.247364,-28.42797
screen,24.84862,16.874775
assessment,19.522263,22.072126
measure,48.92591,-1.1368499
disgusting,2.9644413,-2.2724593
incorrect,13.276563,13.1446295
hardly,49.83776,28.939213
hot,42.89683,9.779392
intelligent,3.0331743,-47.068558
run_behind,7.153047,55.408764
extremely_helpful,-4.271544,-46.16099
give_birth,-49.029713,9.18071
constant,38.014988,-11.812132
icu,-49.440598,1.740727
uti,54.542103,-9.560314
$_100,32.41866,44.815113
relax,-5.963955,-37.878468
tube,51.604183,-17.396944
david,-58.18841,-38.052402
forth,4.847781,13.162066
october,-0.26462346,75.87936
then_proceed,4.2257404,21.96194
arrival,10.666583,59.01851
anxious,11.574726,-16.840672
hr,18.495174,72.31517
physically,19.140638,-16.716873
worried_about,10.192113,-21.488935
timely,-17.873434,54.638927
terrific,-12.26139,-49.23495
reach_out,-2.4342525,35.91287
gentleman,-32.31859,-10.047551
approval,14.166429,42.153595
park,-64.245575,-5.273429
february,0.42256543,75.97991
hearing,36.770535,-46.410908
unhelpful,-1.2033727,-3.7173526
d,-66.95949,-33.896076
pay_attention,8.90368,-30.607887
don't,-25.312258,9.415559
rehab,-33.041794,-34.496143
instruct,8.524118,40.91788
warning,-23.128038,15.328811
cvs,58.647133,15.70654
specialty,-36.482296,-24.116545
reason_why,-33.879143,24.558458
something_else,-20.156998,34.57107
intake,-17.730206,46.064716
overbook,33.452812,24.705427
opt,16.400963,7.460422
ultra_sound,25.798454,24.006166
stone,-67.52574,-27.00334
prescription_refill,56.853523,17.881765
month_old,-53.02154,14.231723
thoughtful,0.77919126,-43.544395
advocate,-16.950233,-32.11876
ass,-1.3587784,6.3297105
removal,46.175518,-28.548815
4_star,-35.024193,27.295364
air,42.57811,9.461293
valuable,1.0381323,-31.829742
rough,17.861536,-13.496905
candidate,40.431618,-42.773197
guarantee,1.1321979,34.945885
print,14.3730135,33.853195
anytime,-3.4832828,60.041428
genuinely_care_about,1.5405447,-38.899925
red,38.466366,-4.100785
settle,11.672081,11.715018
rep,-38.720657,-6.4367747
cleaning,51.888073,-38.464928
beat,23.819967,8.201732
minimum,30.080984,65.48926
weigh,48.316017,-2.0765464
pop,33.707005,3.019453
bag,39.675312,14.951735
rat,-33.933228,28.75679
ear_infection,54.025227,-10.714282
last_night,-0.47537616,68.50733
filler,33.269035,-40.05003
worried,11.196653,-16.15747
pediatrics,-52.99486,-11.823284
potential,29.586945,-20.724241
shoe,37.769653,1.3801446
effect,26.64355,-26.18607
identify,24.199955,-18.817266
long_term,29.30282,-20.803118
challenge,18.59212,-10.071155
connect,-12.914278,2.1954792
fortunate,-15.045404,-57.25831
november,0.46078938,76.57006
gain,35.656853,-6.648139
range,28.312307,-32.05323
thousand,34.705914,47.844597
study,-29.468079,0.19463515
kick,46.296314,8.321075
first_impression,-5.1173477,-18.635403
summerlin,-59.773155,-12.371074
status,9.735506,39.017765
refreshing,1.26532,-40.80328
urine,37.415394,17.725227
dose,61.335274,8.253456
dignity,-44.017864,-8.233608
loss,35.25786,-7.418982
shift,-47.136257,4.4706707
deep,38.788723,-22.894384
obtain,15.097372,39.979618
pap,23.836662,26.215055
min,22.995165,75.052635
give_zero_star,-34.620045,30.46504
unpleasant,-0.19832507,-5.2696347
package,41.557022,26.223381
sport,-27.939184,-34.51549
julie,-55.46105,-46.167908
14,37.72728,61.322018
stressful,16.901428,-11.043522
remember_name,-27.818356,29.484032
walk_away,2.3237798,25.25968
journey,19.99461,-30.849817
medical_group,-50.901035,-12.969229
entire_process,-16.758097,-17.670446
urologist,-41.69508,-27.677042
fertility,-32.099133,-29.432768
ultimately,28.831917,-18.179367
pound,47.48067,0.37709084
screw,37.432003,4.9215083
joint,54.342823,-28.906122
toddler,-51.47628,15.327657
rip_off,3.5673804,4.7627006
incident,21.370386,-13.356155
btw,-51.230743,4.776093
iud,42.639896,-32.195812
witness,-14.616972,4.5825496
mayo_clinic,-54.915257,-9.298768
hat,-7.5449047,4.4533315
irritated,9.060102,-10.549217
2013,-0.82989496,77.465866
quit,-23.012884,40.345543
most_importantly,2.79466,-45.218754
bruise,40.392612,-5.667523
opening,3.9773302,59.351513
interrupt,2.1100914,19.661156
every_step,-16.179089,-18.222357
convince,-24.987835,12.153279
purpose,-33.53733,23.19763
sore_throat,53.335213,-7.975634
restroom,36.13759,14.460491
aspect,-14.366876,-24.154375
employer,20.877285,46.00531
item,49.472523,19.56645
chronic_pain,39.694553,-13.91351
dress,35.285465,9.88575
simonmed,-47.350143,-7.1958003
kinda,-11.612343,-2.5209475
incorrectly,14.309838,13.763801
contact_lens,-20.886957,-3.578998
grab,28.729395,9.1752
cycle,-41.606415,10.278416
technology,-5.12799,-14.91042
boot,38.713478,2.413109
skip,23.751673,8.246401
complex,20.869024,-9.5651865
bright,-9.2973,-15.52021
acceptable,11.407749,-4.878453
charlotte,-59.423203,-15.290455
voice_mail,-4.383299,39.72977
t,-65.28383,-34.84468
internet,-7.3159313,32.847626
recently_move,-61.26114,-19.963715
wheelchair,11.646569,25.22848
turn_into,23.62461,-15.296333
power,-7.1259556,-33.248924
emotional,17.026743,-19.225618
extensive,-10.496523,46.18868
receipt,20.048082,38.16812
bs,1.8470323,8.44667
dosage,61.362995,8.36805
equally,-12.585341,-43.736324
coworker,-58.82117,22.13362
gyno,-42.655354,-23.74652
specialize,-37.178295,-24.326551
news,-10.7854,28.728704
shoot,47.705696,8.442541
dark,32.27588,-0.17661369
dry,40.97687,7.768072
quest,-57.931534,3.1344175
corporate,-37.92982,-3.7939377
follow_through,-12.802213,0.22854793
shape,34.567554,-3.6319957
honor,27.209486,47.26695
crack,33.48515,2.7798746
18,38.276543,61.671497
severe_pain,40.772793,-9.954545
bed_side_manner,-6.985259,-24.20159
urgency,-9.096977,-26.345284
yell,1.799657,14.62232
get_rid,23.481,-21.133913
approximately,29.299366,62.744167
naturally,-11.615547,-37.939117
unlike,-21.405056,-17.161175
coffee,41.42169,17.898361
pick_out,-22.069,-5.3071704
distance,-23.992188,-5.73926
circumstance,2.0266352,-16.950356
nature,-4.8528395,-22.985327
25_minute,21.938925,71.15429
qualified,0.023052735,-48.399487
unethical,1.8844769,0.5467812
girlfriend,-56.00391,18.924152
dread,-8.266859,3.8497097
awkward,15.450274,-13.070011
raise,46.06772,-1.6855755
additionally,-5.0186586,26.469418
sight,39.814465,-46.347023
gross,32.18639,14.817754
truth,-19.717997,9.246241
dream,-14.7168665,-37.74269
perfectly,5.720748,-34.89806
insult,5.277809,0.5678768
infant,-50.433643,15.086858
discussion,5.435489,16.298111
education,1.0666039,-29.126175
considerate,-1.2102329,-44.775734
beg,-1.512056,32.936413
september,0.26195842,75.449234
shop,-24.265316,-1.8557624
cut_off,2.080184,19.312096
advanced,-54.635174,-17.293863
estimate,36.841602,44.20096
urine_sample,37.452488,18.19027
heck,-14.660862,22.688673
feed,45.18005,16.276285
o,-67.20807,-35.508404
build,-19.4983,-23.69705
particularly,-15.231059,-7.948703
bless,-14.69483,-56.906185
sunglass,-21.923737,-4.7505608
pump,48.622402,14.310919
how_much_longer,13.871383,64.82742
miracle,-15.843809,-37.167316
endocrinologist,-42.24024,-27.348673
joy,-9.357361,-44.92423
k,-67.60205,-34.55552
dismissive,-1.9070787,-5.879998
michelle,-57.139484,-47.33126
c,-66.57603,-33.781475
suspect,24.154257,-15.990927
acupuncture,27.4724,-37.739662
authorization,14.290104,42.02146
heartbeat,60.412025,-18.055027
eye_contact,-26.997742,33.672943
bump,41.870255,-25.560455
vaccination,-34.713,42.83634
let_alone,-7.5008574,21.459929
take_advantage,4.7601347,4.061
assess,15.747326,17.24011
swelling,42.09293,-7.834037
edgepark,10.598063,40.119934
con,-14.029853,-21.64476
initial_visit,-32.0642,48.192654
shortly_after,-17.251175,60.24023
personnel,-33.1133,-15.956703
bottle,47.253517,17.275265
y,-72.44242,-34.39437
drug_test,22.331068,28.723944
4th,3.3409886,73.43352
everytime,0.8793387,48.001137
sue,-4.239988,8.486657
exception,-20.77222,-19.794827
reassuring,-3.4024107,-40.69213
protocol,-9.4380455,15.823402
brief,19.090143,15.76133
athlete,-28.05211,-34.2466
closed,4.222488,61.273903
app,-6.263464,35.053715
vitamin,22.295881,-38.082367
sincere,0.24738567,-41.01045
color,31.958805,-1.7273295
know_exactly_what,12.244613,-32.121532
breathing,52.690285,-2.9556186
nextcare,-50.506676,-7.5163465
stretch,26.825031,-34.35026
arthritis,56.600986,-27.868397
suddenly,43.979874,47.660824
dr._martin,-40.44212,-50.499756
representative,-38.673923,-6.4366603
ailment,35.283516,-18.56217
style,-19.433384,-7.3120613
slightly,-12.82366,-4.533161
instantly,-16.670227,60.698174
california,-60.292137,-18.033703
degree,-23.706068,-21.528837
ct,27.601324,23.737051
tool,12.853983,-41.91074
25,37.329792,58.733475
pricing,20.27227,10.322977
mid,-2.3990865,78.75459
video,26.950146,16.934217
dispute,21.786446,39.35337
john,-55.708424,-37.498703
collection_agency,22.704836,39.94851
feel_confident,-5.1939683,-35.480602
section,7.2203875,23.742498
radiology,-46.353535,-5.800598
freak_out,12.354745,-17.247042
dead,30.364258,-14.003126
block,26.429453,4.5652947
portion,29.673706,45.02185
roll,29.549997,6.965764
good_interest,-2.25552,-33.369217
