,attributes,business_id,categories,city,name,review_count,star_avg,state,categories_list
1465,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",8QjD1FhS-cMU3DaRcdjvLg,"diagnostic services, laboratory testing, health & medical",Phoenix,Sonora Quest Laboratories,13,3.0,AZ,"['diagnostic services', ' laboratory testing', ' health & medical']"
1466,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",TSUKOhcY43LJmgaXjt_gxQ,"doctors, health & medical, family practice",Phoenix,"Nava Andrew, MD",11,2.5,AZ,"['doctors', ' health & medical', ' family practice']"
1467,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",IbEIEM16lqKlA4uiLt6Rew,"health & medical, hospitals",Westlake,UH Westlake Health Center,7,3.0,OH,"['health & medical', ' hospitals']"
1468,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",H0U80btn82h375gaLatNrA,"health & medical, medical centers",Las Vegas,Nevada Heart & Vascular Center,11,3.5,NV,"['health & medical', ' medical centers']"
1469,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",ceGICrRKXFWC4Qot2_YIRw,"pain management, doctors, medical centers, health & medical",Las Vegas,Neuropathy and Pain Centers of America,3,3.5,NV,"['pain management', ' doctors', ' medical centers', ' health & medical']"
1470,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",1_iibQxnp0WhQH2m7kXtng,"health & medical, doctors, pediatricians",Las Vegas,Anthem Pediatrics,21,4.0,NV,"['health & medical', ' doctors', ' pediatricians']"
1471,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",5pap1oiCas--eL2KAM9F9Q,"health & medical, pediatricians, doctors",Peoria,Children's Medical Group Ltd,20,2.5,AZ,"['health & medical', ' pediatricians', ' doctors']"
1472,{'ByAppointmentOnly': 'True'},f18xJm1nxAwdhaD_KhNTrw,"health & medical, doctors",Phoenix,"John V Battersby, DO",13,4.0,AZ,"['health & medical', ' doctors']"
1473,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",D49uwH69LwnwmurJRrp9aQ,"doctors, pediatricians, health & medical, medical centers",Mesa,Banner Children's - Banner Health Clinic,13,3.0,AZ,"['doctors', ' pediatricians', ' health & medical', ' medical centers']"
1474,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",Gmo9VR1BkRNmUfLmzFkJqA,"health & medical, internal medicine, doctors",Las Vegas,"Clifford J Molin, MD",16,4.0,NV,"['health & medical', ' internal medicine', ' doctors']"
1475,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",5dpRzuPxUYZ-Sxgf-regzw,"doctors, health & medical, internal medicine",Las Vegas,Jamborcic Internal Medical Clinic,6,1.5,NV,"['doctors', ' health & medical', ' internal medicine']"
1476,,1B-cYCozOW0WspJJ2epIBw,"doctors, health & medical, pediatricians",Gilbert,"Salek Mehdi, MD",3,3.5,AZ,"['doctors', ' health & medical', ' pediatricians']"
1477,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",5mGk_XAxxZzFTB-0DxZMXA,"family practice, hospitals, health & medical, urgent care, doctors",Las Vegas,UMC Quick Care - Summerlin,87,2.0,NV,"['family practice', ' hospitals', ' health & medical', ' urgent care', ' doctors']"
1478,"{'AcceptsInsurance': 'False', 'ByAppointmentOnly': 'True'}",y5c0YJRMxoOaZp7xdHFl8w,"health & medical, medical centers, walk-in clinics",Phoenix,Minute Clinic,3,2.5,AZ,"['health & medical', ' medical centers', ' walk-in clinics']"
1479,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",NLzCGniJTsa0yRyezrYdWQ,"health & medical, chiropractors",Fort Mill,The McCartney Chiropractic Center,3,5.0,SC,"['health & medical', ' chiropractors']"
1480,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",hrVqPwYUwT6JoF-cYQNrsw,"health & medical, medical centers, urgent care, family practice, doctors",Las Vegas,Sunset Clinic,18,2.5,NV,"['health & medical', ' medical centers', ' urgent care', ' family practice', ' doctors']"
1481,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",mPjUTvIFL1dEIv4fVYctkg,"counseling & mental health, health & medical",Charlotte,Center For Emotional Health - Ballantyne,4,2.5,NC,"['counseling & mental health', ' health & medical']"
1482,"{'AcceptsInsurance': 'False', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",9-eqU9J0hyOMViVp_z1Utg,"physical therapy, health & medical",Charlotte,Haughey Physical Therapy,3,5.0,NC,"['physical therapy', ' health & medical']"
1483,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",yhw9bI25OyU1Gh4Ov0fWbg,"chiropractors, health & medical",Las Vegas,Dr Mark Rookhuyzen DC C Ad,6,5.0,NV,"['chiropractors', ' health & medical']"
1484,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",G3ozjBO1Em8c9ymbkZeG4A,"doctors, cardiologists, health & medical",Las Vegas,Advanced Heart & Vascular Specialists,10,2.0,NV,"['doctors', ' cardiologists', ' health & medical']"
1485,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",sM3h_vmTJb2UbsoWK7TExw,"family practice, doctors, health & medical, counseling & mental health, nutritionists, medical centers",Phoenix,Phoenix Family Medical Clinic,12,2.5,AZ,"['family practice', ' doctors', ' health & medical', ' counseling & mental health', ' nutritionists', ' medical centers']"
1486,{'ByAppointmentOnly': 'True'},LPic4zdfo7Ai6rDbu6fTMQ,"health & medical, chiropractors",Pittsburgh,Smooke Chiropractic Clinic,4,4.0,PA,"['health & medical', ' chiropractors']"
1487,{'AcceptsInsurance': 'True'},44fINSiJC7WyfiptRC07Lw,"doctors, family practice, health & medical",Phoenix,B -Healthy Medical,3,1.0,AZ,"['doctors', ' family practice', ' health & medical']"
1488,,iJwPlAUPcVsIO3hgE9Dc-w,"neurologist, chiropractors, doctors, health & medical",Phoenix,Chiropractic & Neurology Center,5,5.0,AZ,"['neurologist', ' chiropractors', ' doctors', ' health & medical']"
1489,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",O880Yc5sU7aHfK3N9d6qzA,"obstetricians & gynecologists, health & medical, doctors",Las Vegas,"Edward C Spoon Jr., MD FACOG FACS",53,4.5,NV,"['obstetricians & gynecologists', ' health & medical', ' doctors']"
1490,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",nKOe0mtrmJka3YvBGT0zOw,"cardiologists, doctors, health & medical",Mesa,Tri-City Cardiology,25,2.0,AZ,"['cardiologists', ' doctors', ' health & medical']"
1491,"{'AcceptsInsurance': 'False', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",nRJqR2eA8Zg2E_ZKuK5SDw,"chiropractors, health & medical",Las Vegas,"Timothy D Francis, DC",9,4.5,NV,"['chiropractors', ' health & medical']"
1492,{'ByAppointmentOnly': 'True'},CUu9MHmkaoD1sG84R8YO9g,"audiologist, health & medical, hearing aid providers, doctors",Stow,Ascent Audiology & Hearing,3,3.5,OH,"['audiologist', ' health & medical', ' hearing aid providers', ' doctors']"
1493,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",Id-zasfKBK4IA-ED3DNE6A,"health & medical, doctors",Phoenix,Arizona Center for Hand Surgery,38,1.5,AZ,"['health & medical', ' doctors']"
1494,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",vLs2B-Xo1kUlgpCiJ7oDHw,"family practice, health & medical, doctors, internal medicine, pediatricians, medical centers",Gilbert,Banner Health Center: Primary Care Medicine,27,3.0,AZ,"['family practice', ' health & medical', ' doctors', ' internal medicine', ' pediatricians', ' medical centers']"
1495,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",8PxFZpufeUmRHpJIOhLPdw,"doctors, urgent care, medical centers, health & medical",Gilbert,NextCare Urgent Care,5,2.5,AZ,"['doctors', ' urgent care', ' medical centers', ' health & medical']"
1496,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",st6NNLRhmaaYp7UwxKSoQw,"health & medical, doctors, psychiatrists, counseling & mental health",Pittsburgh,Vista Behavioral Health Associates,3,1.5,PA,"['health & medical', ' doctors', ' psychiatrists', ' counseling & mental health']"
1497,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",R6zuMBoksiVMtl1Dc_Frzg,"health & medical, chiropractors, nutritionists",Pittsburgh,Mt Lebanon Chiropractic,10,5.0,PA,"['health & medical', ' chiropractors', ' nutritionists']"
1498,{'ByAppointmentOnly': 'False'},dyRxS8ryih8gbtKKaQeVcg,"doctors, health & medical",Sheffield Village,Erie Shore Women's Health,3,1.0,OH,"['doctors', ' health & medical']"
1499,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",j6P3d5iZHl5X6EscWE1_oA,"physical therapy, health & medical",Goodyear,Procare Physical Therapy,3,3.5,AZ,"['physical therapy', ' health & medical']"
1500,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",OqJzR59c5b4RwVI8aj5lqw,"health & medical, doctors, obstetricians & gynecologists",Henderson,WHASN Essential Henderson,41,2.5,NV,"['health & medical', ' doctors', ' obstetricians & gynecologists']"
1501,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",w3JG46ZYzFrpYuoGLAhiLQ,"health & medical, doctors, hospitals",Scottsdale,HonorHealth Medical Group - Paradise Valley,7,2.5,AZ,"['health & medical', ' doctors', ' hospitals']"
1502,{'ByAppointmentOnly': 'True'},4ukmGMMg0hRLE8rnYJuFRg,"doctors, health & medical",Charlotte,Cupid Family Practice,3,1.0,NC,"['doctors', ' health & medical']"
1503,,kHjMjlwwjyiiQKbwMEsvhA,"doctors, health & medical",Henderson,Image Plus Las Vegas,3,1.0,NV,"['doctors', ' health & medical']"
1504,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",xoATPKo8rY_9wgHTNoWM-A,"family practice, doctors, health & medical",Las Vegas,Ensign Family Medicine,37,3.0,NV,"['family practice', ' doctors', ' health & medical']"
1505,,bchVwsGWfU1j-VSvwQz2bQ,"podiatrists, health & medical, doctors",Phoenix,Golub Ryan B Podiatrist,3,3.0,AZ,"['podiatrists', ' health & medical', ' doctors']"
1506,,P22mBq3tHVcEFN_8ix9H1w,"health & medical, urgent care, diagnostic imaging, medical centers, laboratory testing, diagnostic services",Sagamore Hills,Cleveland Clinic - Medical Center Sagamore Hills,3,5.0,OH,"['health & medical', ' urgent care', ' diagnostic imaging', ' medical centers', ' laboratory testing', ' diagnostic services']"
1507,{'ByAppointmentOnly': 'False'},FeSeczgGXR1jg_ywlVHKDw,"physical therapy, health & medical",Chandler,A Plus Physical Therapy,6,5.0,AZ,"['physical therapy', ' health & medical']"
1508,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",LEVx09SbXIK2WBQQovBSFA,"doctors, obstetricians & gynecologists, health & medical",Las Vegas,"Chambers & Associates OBGYN and Gynecological Surgery, PLLC",93,4.0,NV,"['doctors', ' obstetricians & gynecologists', ' health & medical']"
1509,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",lfvfLeyy3Wvr3924xDIHeA,"hospitals, health & medical, emergency rooms, medical centers",Laveen,Dignity Health Arizona General Hospital,33,2.5,AZ,"['hospitals', ' health & medical', ' emergency rooms', ' medical centers']"
1510,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",ZfstAT8H0rDolYv5Z3iqMQ,"health & medical, hearing aid providers, audiologist, doctors",Las Vegas,Desert Valley Audiology,10,5.0,NV,"['health & medical', ' hearing aid providers', ' audiologist', ' doctors']"
1511,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",CdohNSmOTo1ZCtJ1Gme1cw,"family practice, doctors, health & medical, internal medicine",Mesa,Goldberg Mark D MD,3,3.5,AZ,"['family practice', ' doctors', ' health & medical', ' internal medicine']"
1512,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",88YIDz72c0MMYy09o6UJIw,"urgent care, health & medical",Pittsburgh,MedExpress - Upper St. Clair,9,3.5,PA,"['urgent care', ' health & medical']"
1513,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",4tCjJ0KfTrSlvkhK31R0RA,"doctors, health & medical, pain management",Pittsburgh,Rehabilitation and Pain Specialist,3,2.5,PA,"['doctors', ' health & medical', ' pain management']"
1514,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'False'}",vVzYDKCXaGhIRavkI-AUUw,"urgent care, health & medical, medical centers, doctors",Surprise,FastMed Urgent Care,38,2.5,AZ,"['urgent care', ' health & medical', ' medical centers', ' doctors']"
1515,{'ByAppointmentOnly': 'True'},N79GcqRAB3ns4IU2xJGZkQ,"health & medical, rheumatologists, doctors",Glendale,Arizona Arthritis & Rheumatology Associates PC,15,3.0,AZ,"['health & medical', ' rheumatologists', ' doctors']"
1516,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",bOttSjfqjSTsYAKcnLexXA,"urologists, doctors, health & medical",Glendale,Academic Urology and Urogynecology of Arizona,4,2.0,AZ,"['urologists', ' doctors', ' health & medical']"
1517,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",h7CdWTQ5Mc4wIjAVIsBXeQ,"health & medical, urgent care",Pittsburgh,MedExpress - Brentwood,3,1.0,PA,"['health & medical', ' urgent care']"
1518,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",vGRgynaquP7CNZIxNYmYrw,"pediatricians, doctors, health & medical",Tempe,Mesa Pediatrics Professional Association,34,3.0,AZ,"['pediatricians', ' doctors', ' health & medical']"
1519,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",T6sGiNX-DNJ1622M3miglQ,"health & medical, chiropractors, medical centers",Charlotte,Queen City Chiropractic & Sports Performance,3,5.0,NC,"['health & medical', ' chiropractors', ' medical centers']"
1520,,uNOnxjeq9sMdBcs0YE8lEA,"medical centers, physical therapy, health & medical",Glendale,Kinect Physical Therapy- Glendale,3,5.0,AZ,"['medical centers', ' physical therapy', ' health & medical']"
1521,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",3HocVdwmYf5xZf2bHswbjQ,"hospitals, health & medical, doctors",Gilbert,American Medical Associates,5,4.0,AZ,"['hospitals', ' health & medical', ' doctors']"
1522,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",UiPrhO72sExxpevelPFMew,"health & medical, hearing aid providers, doctors, ear nose & throat, audiologist",Monroe,Cornerstone Ear Nose & Throat,3,3.5,NC,"['health & medical', ' hearing aid providers', ' doctors', ' ear nose & throat', ' audiologist']"
1523,{'ByAppointmentOnly': 'True'},l6dEjWeflhFlPoocCTEXqA,"obstetricians & gynecologists, health & medical, doctors",Glendale,Thunderbird Ob/gyn,6,4.5,AZ,"['obstetricians & gynecologists', ' health & medical', ' doctors']"
1524,{'ByAppointmentOnly': 'False'},kAIgz_ZJJJso4sv8IcWkPQ,"urgent care, health & medical, hospitals",Monroeville,UPMC East Emergency Department,3,3.5,PA,"['urgent care', ' health & medical', ' hospitals']"
1525,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",SlMQKj3odbmjqhI7FlOkPg,"cosmetic surgeons, hospitals, medical centers, health & medical, doctors, surgeons",Beachwood,Cleveland Clinic,7,3.5,OH,"['cosmetic surgeons', ' hospitals', ' medical centers', ' health & medical', ' doctors', ' surgeons']"
1526,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",TzYhnRJftZLxwMNijw2fFQ,"health & medical, hospitals, medical centers",Lakewood,Cleveland Clinic - Lakewood,10,2.5,OH,"['health & medical', ' hospitals', ' medical centers']"
1527,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'False'}",XSNdHqwM0swv4SLAcpB8Fg,"rehabilitation center, health & medical",Mesa,Montecito Post Acute Care & Rehabilitation,23,2.0,AZ,"['rehabilitation center', ' health & medical']"
1528,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",w-mGfT-LePKDWlKoI5rlgQ,"doctors, health & medical",North Las Vegas,Pulmonary Associates,3,2.5,NV,"['doctors', ' health & medical']"
1529,{'BusinessAcceptsCreditCards': 'True'},3S0LMFLk0Syif1nVncNRkw,"counseling & mental health, health & medical",Phoenix,Gordon Gunnell A Ms Plc,3,5.0,AZ,"['counseling & mental health', ' health & medical']"
1530,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",yBQO0fZ5uQp4cqZlGOr1dg,"physical therapy, health & medical",Peoria,Paladino Physical Therapy,7,5.0,AZ,"['physical therapy', ' health & medical']"
1531,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",kPj0UFfSwf487Je5AFAFdA,"internal medicine, health & medical, doctors",Scottsdale,"Reese N Gary, MD",11,2.0,AZ,"['internal medicine', ' health & medical', ' doctors']"
1532,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",PQlZsF_itFCJTP0AQd59tQ,"doctors, health & medical, internal medicine",Paradise Valley,"Gerald S Asin, MD",5,5.0,AZ,"['doctors', ' health & medical', ' internal medicine']"
1533,{'ByAppointmentOnly': 'True'},WE3FxXD0KGjW-zIRNhCOJg,"family practice, health & medical, doctors",Chandler,"George Roso, MD",10,3.0,AZ,"['family practice', ' health & medical', ' doctors']"
1534,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",VJnI8FZ0ljhlCTP6xpQtoQ,"doctors, family practice, optometrists, health & medical",Las Vegas,"Beckwith James, OD -  Vision Source",7,5.0,NV,"['doctors', ' family practice', ' optometrists', ' health & medical']"
1535,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",t9xsKNdiLIOyT1h2PqQm4A,"hospitals, health & medical",Pittsburgh,UPMC Mercy,13,4.0,PA,"['hospitals', ' health & medical']"
1536,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",2KsRiG8h84N-rYmYakH0yA,"diagnostic imaging, diagnostic services, radiologists, doctors, health & medical",Phoenix,Az-Tech Radiology,13,2.5,AZ,"['diagnostic imaging', ' diagnostic services', ' radiologists', ' doctors', ' health & medical']"
1537,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",9YFKrSLAni0K5z9ARKYGww,"medical centers, health & medical, doctors, urgent care",Gilbert,FastMed Urgent Care,30,2.5,AZ,"['medical centers', ' health & medical', ' doctors', ' urgent care']"
1538,{'ByAppointmentOnly': 'True'},uRPXqwj0793uYDIKttTmaw,"pain management, doctors, health & medical, medical centers",Goodyear,IMS Pain Management,3,1.0,AZ,"['pain management', ' doctors', ' health & medical', ' medical centers']"
1539,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",sP8-up_ZyVP2fpjfNy5ggw,"obstetricians & gynecologists, health & medical, doctors",Las Vegas,"Irwin Glassman, MD FACOG - WHASN",6,2.5,NV,"['obstetricians & gynecologists', ' health & medical', ' doctors']"
1540,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",GejqLnMHbAaY-mCp8w9W9Q,"health & medical, doctors, family practice",Scottsdale,"Glenn Hinchman, MD",3,4.5,AZ,"['health & medical', ' doctors', ' family practice']"
1541,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",xKKCPtcEEn8LK5j0WXLyyg,"health & medical, doctors",Phoenix,Phoenix Pediatrics,23,2.5,AZ,"['health & medical', ' doctors']"
1542,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",Ho3ntCl5vBBcR8_2Gf0KfA,"pediatricians, health & medical, doctors",Gilbert,Palo Verde Pediatrics,25,3.5,AZ,"['pediatricians', ' health & medical', ' doctors']"
1543,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",FJINqybfFr4_abRfbiJzwA,"doctors, health & medical",Phoenix,Goldansky Alvin MD,4,4.0,AZ,"['doctors', ' health & medical']"
1544,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",W3KyRfkhDB3gpNc7Jzx2kQ,"health & medical, podiatrists, doctors",Las Vegas,"Henry Jerry T, DPM",17,5.0,NV,"['health & medical', ' podiatrists', ' doctors']"
1545,,1htHJOpUtZBkGKRouMMB9g,"doctors, health & medical",Phoenix,Paxton Donald E MD,4,4.0,AZ,"['doctors', ' health & medical']"
1546,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",OfETDXSRPvMYEXXEst6SXg,"chiropractors, physical therapy, health & medical, internal medicine, doctors",Las Vegas,Core Rehab,3,5.0,NV,"['chiropractors', ' physical therapy', ' health & medical', ' internal medicine', ' doctors']"
1547,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'False'}",5yJPtcwH7gME-Fn1epbrCA,"chiropractors, health & medical",Las Vegas,Bahoora Keven DC,5,5.0,NV,"['chiropractors', ' health & medical']"
1548,"{'AcceptsInsurance': 'False', 'BusinessAcceptsCreditCards': 'False', 'ByAppointmentOnly': 'False'}",VycDcDn-9Yf6cRagzVWCkQ,"gastroenterologist, family practice, doctors, health & medical",Goodyear,Southwest Family Medicine,10,2.0,AZ,"['gastroenterologist', ' family practice', ' doctors', ' health & medical']"
1549,,5Vn7ic5t5RwpSt2h1miLjA,"health & medical, rehabilitation center, doctors",Las Vegas,Kindred Healthcare,3,2.0,NV,"['health & medical', ' rehabilitation center', ' doctors']"
1550,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",PFBpxbQbRGZ_fmUw-kwVcQ,"doctors, pediatricians, health & medical",Chandler,Chandler Pediatrics,12,4.5,AZ,"['doctors', ' pediatricians', ' health & medical']"
1551,{'ByAppointmentOnly': 'False'},LbMrPCahad9awpF-kF2yjQ,"diagnostic imaging, doctors, diagnostic services, health & medical, medical centers",Phoenix,Insight Imaging - Thomas Road,4,4.0,AZ,"['diagnostic imaging', ' doctors', ' diagnostic services', ' health & medical', ' medical centers']"
1552,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",NpLrHH6RD_oTHZXoWdDhLQ,"urgent care, hospitals, health & medical, medical centers",Glendale,Banner Thunderbird Medical Center,126,2.5,AZ,"['urgent care', ' hospitals', ' health & medical', ' medical centers']"
1553,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",qRkHXzgJuYJ2BtxUJWzqLg,"health & medical, urgent care, hospitals, doctors",Las Vegas,UMC Quick Care - Spring Valley,114,3.0,NV,"['health & medical', ' urgent care', ' hospitals', ' doctors']"
1554,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",CutvBbLOK-TP1D-tDptr4w,"health & medical, diagnostic services, laboratory testing",Mesa,Sonora Quest Laboratories,15,2.0,AZ,"['health & medical', ' diagnostic services', ' laboratory testing']"
1555,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",O1GLSGQ9cBtUDzrF943G1g,"health & medical, doctors",Las Vegas,Mickey Weisz MD,10,3.0,NV,"['health & medical', ' doctors']"
1556,{'ByAppointmentOnly': 'True'},pBI0G9srrOKW3cRkC7-PdA,"internal medicine, health & medical, doctors",Las Vegas,Joya Pablo U MD,4,2.5,NV,"['internal medicine', ' health & medical', ' doctors']"
1557,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",KbuYd93hqhiDH72jRqymqg,"optometrists, health & medical",Fairview Park,"Richard E Hults, OD",4,4.0,OH,"['optometrists', ' health & medical']"
1558,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True'}",6is2xgUzYDYusGy4IldsbA,"ear nose & throat, doctors, health & medical",North Las Vegas,"Nevada Ear, Nose & Throat Center",4,3.5,NV,"['ear nose & throat', ' doctors', ' health & medical']"
1559,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",He28nbjQNUMkX8p4yqDaqg,"cosmetic surgeons, doctors, health & medical",Scottsdale,"Richard J Brown, MD",9,5.0,AZ,"['cosmetic surgeons', ' doctors', ' health & medical']"
1560,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",AWPuf8hDFhdmZ1TzPLd8Qw,"optometrists, ophthalmologists, doctors, health & medical",Las Vegas,Eye Clinic of Las Vegas,11,2.5,NV,"['optometrists', ' ophthalmologists', ' doctors', ' health & medical']"
1561,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",VFnTIz4etrT--wNEjp6JmA,"doctors, nutritionists, health & medical, family practice, medical centers",Henderson,Total Care Family Practice,15,2.5,NV,"['doctors', ' nutritionists', ' health & medical', ' family practice', ' medical centers']"
1562,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",LsZAdstiRBP_FAvvuAiE5Q,"diagnostic imaging, health & medical, diagnostic services",Las Vegas,SimonMed Imaging - Maryland Parkway,13,4.5,NV,"['diagnostic imaging', ' health & medical', ' diagnostic services']"
1563,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",9bTc_m62EUVVUTiDja8w0w,"health & medical, doctors",Mesa,McCleve Orthotics & Prosthetics,3,5.0,AZ,"['health & medical', ' doctors']"
